domain	site_name	category	productivity_class	risk_level	business_allowed	source	comment	is_active
citilink.ru	Citilink	marketplace	neutral	medium	1	catalog-ru-20260623	IT and office equipment purchases	1
vk.com	VK	social	non_productive	medium	0	catalog-ru-20260623	Social network; whitelist business communities separately if needed	1
ok.ru	Odnoklassniki	social	non_productive	medium	0	catalog-ru-20260623	Social network	1
dzen.ru	Dzen	news	non_productive	medium	0	catalog-ru-20260623	News/feed portal	1
rbc.ru	RBC	news	neutral	medium	1	catalog-ru-20260623	Business news; review by department policy	1
ria.ru	RIA Novosti	news	neutral	medium	1	catalog-ru-20260623	News; review by department policy	1
lenta.ru	Lenta	news	non_productive	medium	0	catalog-ru-20260623	News/feed portal	1
youtube.com	YouTube	media	non_productive	medium	0	catalog-ru-20260623	Video platform; business use requires URL-level exception	1
rutube.ru	Rutube	media	non_productive	medium	0	catalog-ru-20260623	Video platform	1
vkvideo.ru	VK Video	media	non_productive	medium	0	catalog-ru-20260623	Video platform	1
music.yandex.ru	Yandex Music	media	non_productive	medium	0	catalog-ru-20260623	Music streaming	1
kinopoisk.ru	Kinopoisk	media	non_productive	medium	0	catalog-ru-20260623	Entertainment streaming	1
twitch.tv	Twitch	media	non_productive	high	0	catalog-ru-20260623	Entertainment streaming	1
example.com	Example Domain	test_reference	neutral	low	0	catalog-ru-20260623	Test/reference domain	1
unknown.example	Unknown example	test_reference	neutral	low	0	catalog-ru-20260623	Test/reference domain from demo data	1
