process_name	application_name	vendor	category	productivity_class	risk_level	is_system	source	comment	is_active
procexp.exe	Process Explorer	Microsoft	admin_tool	productive	medium	0	catalog-ru-20260623	Advanced diagnostics	1
procexp64.exe	Process Explorer	Microsoft	admin_tool	productive	medium	0	catalog-ru-20260623	Advanced diagnostics	1
procmon.exe	Process Monitor	Microsoft	admin_tool	productive	medium	0	catalog-ru-20260623	Advanced diagnostics	1
procmon64.exe	Process Monitor	Microsoft	admin_tool	productive	medium	0	catalog-ru-20260623	Advanced diagnostics	1
telegram.exe	Telegram	Telegram	communication	neutral	medium	0	catalog-ru-20260623	Messenger; business use depends on policy	1
whatsapp.exe	WhatsApp	Meta	communication	neutral	medium	0	catalog-ru-20260623	Messenger; business use depends on policy	1
teams.exe	Microsoft Teams	Microsoft	communication	productive	low	0	catalog-ru-20260623	Business communication	1
ms-teams.exe	Microsoft Teams	Microsoft	communication	productive	low	0	catalog-ru-20260623	Business communication	1
zoom.exe	Zoom	Zoom	communication	productive	low	0	catalog-ru-20260623	Business communication	1
skype.exe	Skype	Microsoft	communication	neutral	medium	0	catalog-ru-20260623	Messenger	1
discord.exe	Discord	Discord	social	non_productive	medium	0	catalog-ru-20260623	Social and gaming communication	1
yandexdisk.exe	Yandex Disk	Yandex	cloud_docs	productive	medium	0	catalog-ru-20260623	Cloud storage; data handling policy applies	1
yandexdisk2.exe	Yandex Disk	Yandex	cloud_docs	productive	medium	0	catalog-ru-20260623	Cloud storage; data handling policy applies	1
onedrive.exe	OneDrive	Microsoft	cloud_docs	productive	medium	0	catalog-ru-20260623	Cloud storage; data handling policy applies	1
dropbox.exe	Dropbox	Dropbox	cloud_docs	neutral	medium	0	catalog-ru-20260623	Cloud storage; data handling policy applies	1
code.exe	Visual Studio Code	Microsoft	developer	productive	low	0	catalog-ru-20260623	Code editor and admin scripting	1
devenv.exe	Visual Studio	Microsoft	developer	productive	low	0	catalog-ru-20260623	Development IDE	1
git.exe	Git	Git	developer	productive	low	0	catalog-ru-20260623	Version control CLI	1
docker desktop.exe	Docker Desktop	Docker	developer	productive	low	0	catalog-ru-20260623	Container development tool	1
vlc.exe	VLC	VideoLAN	media	non_productive	medium	0	catalog-ru-20260623	Media player	1
wmplayer.exe	Windows Media Player	Microsoft	media	non_productive	medium	0	catalog-ru-20260623	Media player	1
spotify.exe	Spotify	Spotify	media	non_productive	medium	0	catalog-ru-20260623	Music streaming	1
steam.exe	Steam	Valve	gaming	non_productive	high	0	catalog-ru-20260623	Gaming platform	1
gamebar.exe	Xbox Game Bar	Microsoft	gaming	non_productive	high	0	catalog-ru-20260623	Gaming overlay	1
securityhealthsystray.exe	Windows Security	Microsoft	security_crypto	neutral	low	1	catalog-ru-20260623	Windows security UI	1
avgui.exe	AVG Antivirus	AVG	security_crypto	neutral	low	0	catalog-ru-20260623	Endpoint security UI	1
avpui.exe	Kaspersky	Kaspersky	security_crypto	neutral	low	0	catalog-ru-20260623	Endpoint security UI	1
